iso3,country_name,indicator,indicator_name,year,value_percent,country_longitude,country_latitude,status
AFG,Afghanistan,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ALB,Albania,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
DZA,Algeria,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ASM,American Samoa,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
AND,Andorra,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
AGO,Angola,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
AIA,Anguilla,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ATA,Antarctica,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ATG,Antigua and Barbuda,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ARG,Argentina,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ARM,Armenia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ABW,Aruba,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
AUS,Australia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
AUT,Austria,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
AZE,Azerbaijan,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
BHS,Bahamas,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
BHR,Bahrain,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
BGD,Bangladesh,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
BRB,Barbados,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
BLR,Belarus,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
BEL,Belgium,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
BLZ,Belize,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
BEN,Benin,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
BMU,Bermuda,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
BTN,Bhutan,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
BOL,"Bolivia, Plurinational State of",EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
BES,"Bonaire, Sint Eustatius and Saba",EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
BIH,Bosnia and Herzegovina,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
BWA,Botswana,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
